番号,年代,時代,教,入試,できごと,暗記法,暗記法
217,1993,,A,3,EU発足,ひとつ組み(1993)たい、EUと,ひとつ組みたい、EUと
218,1993,,D,1,非自民の連立内閣成立⇒55年体制が終わる,ひどく急さ(1993)政権交代,ひどく急さ政権交代
219,1993,,D,1,環境基本法制定,ひどく急さ(1993)地球環境対策,ひどく急さ地球環境対策
220,1995,,A,,阪神・淡路大震災,ひどく救護(1995)急ぐ、阪神大震災,ひどく救護急ぐ、阪神大震災
221,1997,,D,1,地球温暖化防止会議⇒京都議定書の採択,ひどく急な(1997)温暖化防止,ひどく急な温暖化防止
222,2001,,A,,アメリカで同時多発テロ⇒アフガニスタン紛争,2つの塔、飛(2001)行機突っ込む、多発テロ,2つの塔、飛行機突っ込む、多発テロ
223,2011,,A,,東日本大震災・福島第一原発事故,つれぇ日々(2011)が続いた東日本,つれぇ日々が続いた東日本
224,2015,,C,1,パリ協定、SDGsの採択,止まれ以後(2015)、温暖化,止まれ以後、温暖化
225,2016,,B,,選挙権年齢18歳以上に引き下げ,20から広(2016)がる選挙権、18歳へ,20から広がる選挙権、18歳へ
226,2020,,C,,新型コロナウイルス感染症の流行,止まる止まる(2020)すべてがコロナ禍で,止まる止まるすべてがコロナ禍で
